Index,Symbol,Security,Qty,Type,Open Date,Adj Cost per Share,Adj Cost,,,,,,,
1,ABBV,ABBVIE INC. ,0.51,Buy,23-Jul-20,97.4,50,,,,,,,
2,AYI,"ACUITY BRANDS, INC. ",0.5,Buy,23-Jul-20,100.71,50,,,,,,,
3,ALXN,"ALEXION PHARMACEUTICALS, INC. ",0.47,Buy,23-Jul-20,107.01,50,,,,,,,
4,MO,"Altria Group, Inc. ",1.21,Buy,23-Jul-20,41.22,50,,,,,,,
5,BBY,"Best Buy Co., Inc. ",0.55,Buy,23-Jul-20,90.28,50,,,,,,,
6,BIIB,BIOGEN INC. ,0.18,Buy,23-Jul-20,280.19,50,,,,,,,
7,CI,CIGNA CORPORATION ,0.28,Buy,23-Jul-20,178.3,50,,,,,,,
8,CSCO,"CISCO SYSTEMS, INC. ",1.06,Buy,23-Jul-20,47.02,50,,,,,,,
9,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION ,0.81,Buy,23-Jul-20,61.62,50,,,,,,,
10,CHRS,"COHERUS BIOSCIENCES, INC. ",2.68,Buy,23-Jul-20,18.66,50,,,,,,,
11,CVS,CVS HEALTH CORPORATION ,0.77,Buy,23-Jul-20,64.52,50,,,,,,,
12,DISCA,"DISCOVERY, INC. ",2.38,Buy,23-Jul-20,20.98,50,,,,,,,
13,EPC,Edgewell Personal Care Company ,1.66,Buy,23-Jul-20,30.18,50,,,,,,,
14,EME,"EMCOR GROUP, INC. ",0.79,Buy,23-Jul-20,63.19,50,,,,,,,
15,EEFT,"EURONET WORLDWIDE, INC. ",0.51,Buy,23-Jul-20,98.84,50,,,,,,,
16,HPQ,HP INC. ,2.86,Buy,23-Jul-20,17.48,50,,,,,,,
17,JAZZ,JAZZ PHARMACEUTICALS PUBLIC LIMITED COMPANY ,0.47,Buy,23-Jul-20,105.52,50,,,,,,,
18,KBR,"KBR, INC. ",2.23,Buy,23-Jul-20,22.44,50,,,,,,,
19,MCK,MCKESSON CORPORATION ,0.32,Buy,23-Jul-20,155.98,50,,,,,,,
20,MD,"MEDNAX, INC. ",2.6,Buy,23-Jul-20,19.24,50,,,,,,,
21,NCR,NCR CORPORATION ,2.83,Buy,23-Jul-20,17.66,50,,,,,,,
22,NTAP,"NETAPP, INC. ",1.1,Buy,23-Jul-20,45.56,50,,,,,,,
23,OMC,OMNICOM GROUP INC. ,0.92,Buy,23-Jul-20,54.5,50,,,,,,,
24,PM,Philip Morris International Inc. ,0.66,Buy,23-Jul-20,75.92,50,,,,,,,
25,RL,RALPH LAUREN CORPORATION ,0.7,Buy,23-Jul-20,71.56,50,,,,,,,
26,RHI,ROBERT HALF INTERNATIONAL INC. ,0.93,Buy,23-Jul-20,53.6,50,,,,,,,
27,TPR,"TAPESTRY, INC ",3.66,Buy,23-Jul-20,13.65,50,,,,,,,
28,IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC. ",2.83,Buy,23-Jul-20,17.68,50,,,,,,,
29,ODP,THE ODP CORPORATION ,2.15,Buy,23-Jul-20,23.25,50,,,,,,,
30,XRX,XEROX HOLDINGS CORPORATION ,2.97,Buy,23-Jul-20,16.85,50,,,,,,,
